id,narrative,pred_polview_narr
14,"At 30, this woman in the South balances work, personal commitments, and quiet plans for the next few years. On a typical workday, she heads to her production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With some college or technical training, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, she stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
15,"He is 83, a man in the Midwest who values familiar routines and the people he sees most often. On a typical workday, he heads to his military job, spending the bulk of the day balancing training, schedules, and duties that demand discipline, teamwork, and attention to detail. With a high school education, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. On weekends, he often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
16,"At 35, this man in the West balances work, personal commitments, and quiet plans for the next few years. On a typical workday, he heads to his production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With a graduate degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",0
17,"At 36, this man in the West balances work, personal commitments, and quiet plans for the next few years. On a typical workday, he heads to his production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With some college or technical training, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, he stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
18,"At 37, this woman in the Midwest balances work, personal commitments, and quiet plans for the next few years. On a typical workday, she heads to her management or professional job, spending the bulk of the day in an office setting, juggling emails, meetings, and longer-term projects that require planning and careful follow-through. With a college degree, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, she usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",0
19,"She is 56 years old, she has settled into a steady rhythm in the Midwest, where routines give structure to most days. On a typical workday, she heads to her management or professional job, spending the bulk of the day in an office setting, juggling emails, meetings, and longer-term projects that require planning and careful follow-through. With a college degree, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, she usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. In spare hours, she prefers familiar routines: a favorite TV program, light reading, or small projects around the home that keep things in order. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
20,"She is 71, a woman in the South who values familiar routines and the people she sees most often. On a typical workday, she heads to her construction or maintenance job, spending the bulk of the day doing hands-on work, often outdoors or in busy facilities, where practical skills matter more than formal titles. With a college degree, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, she usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. On weekends, she often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
21,"She is 46 years old, she has settled into a steady rhythm in the Midwest, where routines give structure to most days. On a typical workday, she heads to her management or professional job, spending the bulk of the day in an office setting, juggling emails, meetings, and longer-term projects that require planning and careful follow-through. With a college degree, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, she usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. In spare hours, she prefers familiar routines: a favorite TV program, light reading, or small projects around the home that keep things in order. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",0
22,"He is 76, a man in the South who values familiar routines and the people he sees most often. On a typical workday, he heads to his management or professional job, spending the bulk of the day in an office setting, juggling emails, meetings, and longer-term projects that require planning and careful follow-through. With a graduate degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. On weekends, he often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
23,"He is 74, a man in the West who values familiar routines and the people he sees most often. On a typical workday, he heads to his construction or maintenance job, spending the bulk of the day doing hands-on work, often outdoors or in busy facilities, where practical skills matter more than formal titles. With a college degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. On weekends, he often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
24,"At 40, this man in the West balances work, personal commitments, and quiet plans for the next few years. On a typical workday, he heads to his military job, spending the bulk of the day balancing training, schedules, and duties that demand discipline, teamwork, and attention to detail. With some college or technical training, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, he stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
25,"She is 70, a woman in the Northeast who values familiar routines and the people she sees most often. On a typical workday, she heads to her construction or maintenance job, spending the bulk of the day doing hands-on work, often outdoors or in busy facilities, where practical skills matter more than formal titles. With a high school education, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, she usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. On weekends, she often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
26,"He is 69, a man in the Midwest who values familiar routines and the people he sees most often. On a typical workday, he heads to his military job, spending the bulk of the day balancing training, schedules, and duties that demand discipline, teamwork, and attention to detail. With a high school education, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, he stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. On weekends, he often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
27,"She is 89, a woman in the West who values familiar routines and the people she sees most often. On a typical workday, she heads to her production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With less than a high school education, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, she stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. On weekends, she often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
28,"She is 61, a woman in the Midwest who values familiar routines and the people she sees most often. On a typical workday, she heads to her production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With a high school education, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. On weekends, she often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
29,"At 44, this man in the South balances work, personal commitments, and quiet plans for the next few years. On a typical workday, he heads to his production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With a college degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
30,"She is 56 years old, she has settled into a steady rhythm in the South, where routines give structure to most days. On a typical workday, she heads to her management or professional job, spending the bulk of the day in an office setting, juggling emails, meetings, and longer-term projects that require planning and careful follow-through. With some college or technical training, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, she usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. In spare hours, she prefers familiar routines: a favorite TV program, light reading, or small projects around the home that keep things in order. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
31,"He is 85, a man in the South who values familiar routines and the people he sees most often. On a typical workday, he heads to his production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With some college or technical training, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. On weekends, he often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
32,"At 37, this woman in the South balances work, personal commitments, and quiet plans for the next few years. On a typical workday, she heads to her production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With some college or technical training, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, she usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
33,"He is 70, a man in the South who values familiar routines and the people he sees most often. On a typical workday, he heads to his production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With a college degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. On weekends, he often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
34,"He is 58 years old, he has settled into a steady rhythm in the West, where routines give structure to most days. On a typical workday, he heads to his service job, spending the bulk of the day helping customers or clients face to face, staying on their feet for much of the day and managing unpredictable situations. With a college degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. In spare hours, he prefers familiar routines: a favorite TV program, light reading, or small projects around the home that keep things in order. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",0
35,"He is 67, a man in the West who values familiar routines and the people he sees most often. On a typical workday, he heads to his military job, spending the bulk of the day balancing training, schedules, and duties that demand discipline, teamwork, and attention to detail. With a graduate degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. On weekends, he often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
36,"He is 63, a man in the Midwest who values familiar routines and the people he sees most often. On a typical workday, he heads to his management or professional job, spending the bulk of the day in an office setting, juggling emails, meetings, and longer-term projects that require planning and careful follow-through. With a high school education, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. On weekends, he often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
37,"He is 47 years old, he has settled into a steady rhythm in the West, where routines give structure to most days. On a typical workday, he heads to his production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With some college or technical training, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, he stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. In spare hours, he prefers familiar routines: a favorite TV program, light reading, or small projects around the home that keep things in order. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
38,"He is 63, a man in the West who values familiar routines and the people he sees most often. On a typical workday, he heads to his construction or maintenance job, spending the bulk of the day doing hands-on work, often outdoors or in busy facilities, where practical skills matter more than formal titles. With some college or technical training, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. On weekends, he often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
39,"She is 69, a woman in the Midwest who values familiar routines and the people she sees most often. On a typical workday, she heads to her production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With a high school education, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, she usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. On weekends, she often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
40,"She is 55 years old, she has settled into a steady rhythm in the Midwest, where routines give structure to most days. On a typical workday, she heads to her production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With some college or technical training, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, she usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. In spare hours, she prefers familiar routines: a favorite TV program, light reading, or small projects around the home that keep things in order. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
41,"At 37, this man in the South balances work, personal commitments, and quiet plans for the next few years. On a typical workday, he heads to his service job, spending the bulk of the day helping customers or clients face to face, staying on their feet for much of the day and managing unpredictable situations. With a graduate degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",0
42,"He is 64, a man in the West who values familiar routines and the people he sees most often. On a typical workday, he heads to his management or professional job, spending the bulk of the day in an office setting, juggling emails, meetings, and longer-term projects that require planning and careful follow-through. With some college or technical training, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. On weekends, he often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
43,"She is 59 years old, she has settled into a steady rhythm in the West, where routines give structure to most days. On a typical workday, she heads to her production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With a college degree, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. In spare hours, she prefers familiar routines: a favorite TV program, light reading, or small projects around the home that keep things in order. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",0
44,"He is 29, a man living in the Northeast, still shaping his path in work and life. On a typical workday, he heads to his production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With less than a high school education, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, he stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. Weeknights might include meeting a friend after work, watching shows, or scrolling through messages, while weekends are reserved for casual gatherings, errands, and catching up on rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
45,"She is 63, a woman in the South who values familiar routines and the people she sees most often. On a typical workday, she heads to her production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With a high school education, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. On weekends, she often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
46,"At 32, this man in the South balances work, personal commitments, and quiet plans for the next few years. On a typical workday, he heads to his sales or office job, spending the bulk of the day interacting with coworkers and customers, answering calls, and keeping things organized behind the scenes. With a graduate degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",0
47,"She is 70, a woman in the South who values familiar routines and the people she sees most often. On a typical workday, she heads to her construction or maintenance job, spending the bulk of the day doing hands-on work, often outdoors or in busy facilities, where practical skills matter more than formal titles. With some college or technical training, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. On weekends, she often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",1
48,"He is 25, a man living in the South, still shaping his path in work and life. On a typical workday, he heads to his job that does not fit neatly into a single category, spending the bulk of the day handling a mix of tasks that change from week to week, requiring flexibility and patience. With some college or technical training, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. Weeknights might include meeting a friend after work, watching shows, or scrolling through messages, while weekends are reserved for casual gatherings, errands, and catching up on rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
49,"She is 23, a woman living in the Northeast, still shaping her path in work and life. On a typical workday, she heads to her management or professional job, spending the bulk of the day in an office setting, juggling emails, meetings, and longer-term projects that require planning and careful follow-through. With a graduate degree, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, she stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. Weeknights might include meeting a friend after work, watching shows, or scrolling through messages, while weekends are reserved for casual gatherings, errands, and catching up on rest. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",0
50,"He is 24, a man living in the South, still shaping his path in work and life. On a typical workday, he heads to his production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With a high school education, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, he stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. Weeknights might include meeting a friend after work, watching shows, or scrolling through messages, while weekends are reserved for casual gatherings, errands, and catching up on rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
51,"He is 27, a man living in the Northeast, still shaping his path in work and life. On a typical workday, he heads to his production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With a college degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. Weeknights might include meeting a friend after work, watching shows, or scrolling through messages, while weekends are reserved for casual gatherings, errands, and catching up on rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",0
52,"At 39, this man in the Midwest balances work, personal commitments, and quiet plans for the next few years. On a typical workday, he heads to his construction or maintenance job, spending the bulk of the day doing hands-on work, often outdoors or in busy facilities, where practical skills matter more than formal titles. With a college degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, he usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",1
